Altium Designer Pick and Place Locations
C:\Users\pelop\Desktop\Neckog\Project Outputs for Printing\Pick Place for Printing2.csv

========================================================================================================================
File Design Information:

Date:       07.06.23
Time:       23:30
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"RLY1","G5RL-1A-E-HR-DC24","TopLayer","relay","106.6352","10.5100","360"
"R86","StandardResistor","TopLayer","R_0805_GEN_0.60H","143.8910","126.8730","90"
"R85","StandardResistor","TopLayer","R_0805_GEN_0.60H","148.3360","130.4290","180"
"Q8","PJA3405_R1_00001","TopLayer","PJA3405_R1_00001","149.6060","134.0170","270"
"J27","B3B-XH-A(LF)(SN)","TopLayer","JST_B3B-XH-A(LF)(SN)","3.5560","84.1140","270"
"J53","B2B-XH-A(LF)(SN)","TopLayer","JST_B2B-XH-A(LF)(SN)","186.4360","43.4340","90"
"Fuse1","5*20mm Fuseholder","TopLayer","696310001002","142.6210","20.1020","90"
"U15","L7812CD2T-TR","TopLayer","TO254P1515X470-3N","102.7420","113.7920","180"
"Q6","SingleNMOS_G1S3DTAB","TopLayer","DPAK_SQD50N10-8M9L","78.7600","9.2270","180"
"Q1","SingleNPN_B1E2C3","TopLayer","SOT23-3_MMBT3904,215","25.2984","87.0966","90"
"R82","StandardJumper","TopLayer","R_0805_GEN_0.70H","77.4700","158.8770","0"
"R84","StandardJumper","TopLayer","R_0805_GEN_0.70H","142.0430","148.9710","0"
"R83","StandardJumper","TopLayer","R_0805_GEN_0.70H","131.0640","147.7010","90"
"R80","StandardJumper","TopLayer","R_0805_GEN_0.70H","58.1660","157.4800","90"
"R74","StandardJumper","TopLayer","R_0805_GEN_0.70H","57.4040","186.3090","270"
"SB4","","TopLayer","0805_SB","7.7470","37.2110","180"
"SB2","0805_SB","TopLayer","0805_SB","7.8740","52.4510","0"
"J34","B2B-XH-A(LF)(SN)","TopLayer","JST_B2B-XH-A(LF)(SN)","68.7832","3.8100","0"
"VR2","XC6206P122MR","TopLayer","SOT95P280X130-3N","157.6070","135.2550","90"
"C101","Capacitor","TopLayer","C_0805_GEN_1.40H","160.8200","135.2224","90"
"R171","StandardJumper","TopLayer","R_0805_GEN_0.70H","170.5610","89.9160","270"
"R57","StandardResistor","TopLayer","R_0805_GEN_0.70H","78.4860","75.6920","90"
"Q5","SingleNPN_B1E2C3","TopLayer","SOT23-3_MMBT3904,215","160.4518","34.6140","270"
"Q4","SingleNPN_B1E2C3","TopLayer","SOT23-3_MMBT3904,215","176.2904","34.4870","270"
"R185","StandardResistor","TopLayer","R_0805_GEN_0.70H","9.5250","115.5700","180"
"R197","StandardResistor","TopLayer","R_0805_GEN_0.70H","9.4742","138.6078","180"
"R195","StandardResistor","TopLayer","R_0805_GEN_0.70H","9.5250","174.1170","180"
"R194","StandardResistor","TopLayer","R_0805_GEN_0.70H","9.4742","127.4660","180"
"R193","StandardResistor","TopLayer","R_0805_GEN_0.70H","9.4742","150.4188","180"
"R170","StandardResistor","TopLayer","R_0805_GEN_0.70H","9.4742","103.1748","180"
"R196","StandardResistor","TopLayer","R_0805_GEN_0.70H","9.4742","162.7378","180"
"J19","5.08 Klemens","TopLayer","5.08_Klemens","157.3530","9.7790","180"
"J9","5.08 Klemens","TopLayer","5.08_Klemens","170.1800","9.7790","180"
"J12","5.08 Klemens","TopLayer","5.08_Klemens","183.0070","9.7790","180"
"D20","KP-2012SRC-PRV","TopLayer","0805_LED","14.5034","150.4188","180"
"D24","KP-2012SRC-PRV","TopLayer","0805_LED","14.5034","138.6078","180"
"D22","KP-2012SRC-PRV","TopLayer","0805_LED","14.4780","174.1170","180"
"D21","KP-2012SRC-PRV","TopLayer","0805_LED","14.5034","127.4660","180"
"D19","KP-2012SRC-PRV","TopLayer","0805_LED","14.4780","115.5700","180"
"D18","KP-2012SRC-PRV","TopLayer","0805_LED","14.5034","103.1748","180"
"D23","KP-2012SRC-PRV","TopLayer","0805_LED","14.5034","162.7124","180"
"D17","SK54BL","TopLayer","SMB_NRVBS360BT3G","139.5730","37.8460","0"
"R169","StandardResistor","TopLayer","R_0805_GEN_0.70H","103.1810","35.6870","0"
"R167","StandardResistor","TopLayer","R_0805_GEN_0.70H","103.1240","38.7350","0"
"R166","StandardJumper","TopLayer","R_0805_GEN_0.70H","159.8590","89.2460","270"
"R30","StandardResistor","TopLayer","R_0805_GEN_0.70H","103.1240","41.5290","0"
"R29","StandardJumper","TopLayer","R_0805_GEN_0.70H","150.0849","186.6770","270"
"D16","KP-2012SRC-PRV","TopLayer","0805_LED","96.7740","35.6870","0"
"D15","KP-2012SRC-PRV","TopLayer","0805_LED","96.7740","38.7350","0"
"D14","KP-2012SRC-PRV","TopLayer","0805_LED","96.7740","41.5290","0"
"Q15","SingleNMOS_G1S3DTAB","TopLayer","DPAK_SQD50N10-8M9L","14.9794","156.1381","90"
"U22","FOD817S","TopLayer","SOIC254P1016X385-4N","156.6926","26.3906","270"
"U21","FOD817S","TopLayer","SOIC254P1016X385-4N","172.7454","26.2636","270"
"R165","StandardResistor","TopLayer","R_0805_GEN_0.70H","157.4038","35.2868","90"
"R163","StandardResistor","TopLayer","R_0805_GEN_0.70H","173.3042","35.1598","90"
"Q2","SingleNPN_B1E2C3","TopLayer","SOT23-3_MMBT3904,215","25.0444","99.5934","90"
"U18","PSRAM_ESP32","TopLayer","SOP8","150.7926","104.6446","90"
"U20","FOD817S","TopLayer","SOIC254P1016X385-4N","13.5274","97.5809","180"
"U19","FOD817S","TopLayer","SOIC254P1016X385-4N","14.2240","85.3440","180"
"J30","CAM_CONN","TopLayer","CAM_CONN","185.6034","140.4080","90"
"VR1","XC6206P282MR","TopLayer","SOT95P280X130-3N","171.6924","158.1160","90"
"U17","IX4427N","TopLayer","SOIC127P600X175-8N","96.5200","138.3284","180"
"R134","StandardResistor","TopLayer","R_0805_GEN_0.70H","26.5274","94.7614","90"
"R133","StandardResistor","TopLayer","R_0805_GEN_0.70H","23.8974","94.7614","90"
"R39","StandardResistor","TopLayer","R_0805_GEN_0.70H","14.9174","93.5714","0"
"R38","StandardResistor","TopLayer","R_0805_GEN_0.70H","15.1714","81.2686","0"
"R37","StandardResistor","TopLayer","R_0805_GEN_0.70H","9.8774","93.5714","0"
"R35","StandardResistor","TopLayer","R_0805_GEN_0.70H","10.1314","81.2686","0"
"R33","StandardResistor","TopLayer","R_0805_GEN_0.60H","150.4624","94.3068","180"
"R32","StandardResistor","TopLayer","R_0805_GEN_0.60H","182.6260","148.2090","270"
"R28","StandardResistor","TopLayer","R_0805_GEN_0.60H","163.7318","128.9486","270"
"R26","StandardResistor","TopLayer","R_0805_GEN_0.60H","162.6744","124.8338","180"
"R25","StandardResistor","TopLayer","R_0805_GEN_0.60H","162.6744","122.2430","180"
"R24","StandardResistor","TopLayer","R_0805_GEN_0.60H","170.9962","120.4904","270"
"R23","StandardJumper","TopLayer","R_0805_GEN_0.70H","102.8700","140.1064","180"
"R22","StandardJumper","TopLayer","R_0805_GEN_0.70H","102.8700","137.6934","180"
"J66","B2B-XH-A(LF)(SN)","TopLayer","JST_B2B-XH-A(LF)(SN)","4.1910","11.8310","270"
"J65","B3B-XH-A(LF)(SN)","TopLayer","JST_B3B-XH-A(LF)(SN)","16.4230","3.5560","0"
"J64","B2B-XH-A(LF)(SN)","TopLayer","JST_B2B-XH-A(LF)(SN)","4.0640","19.9390","270"
"J63","B2B-XH-A(LF)(SN)","TopLayer","JST_B2B-XH-A(LF)(SN)","187.0710","120.0150","90"
"J62","B3B-XH-A(LF)(SN)","TopLayer","JST_B3B-XH-A(LF)(SN)","30.3530","3.5390","0"
"J61","B3B-XH-A(LF)(SN)","TopLayer","JST_B3B-XH-A(LF)(SN)","3.5560","95.2900","270"
"D9","KP-2012SRC-PRV","TopLayer","0805_LED","170.8946","115.8168","90"
"C105","Capacitor","TopLayer","C_0805_GEN_1.40H","155.3900","105.0256","270"
"C104","Capacitor","TopLayer","C_0805_GEN_1.40H","158.1454","128.9486","90"
"C103","Capacitor","TopLayer","C_0805_GEN_1.40H","187.1410","129.6670","180"
"C102","Capacitor","TopLayer","C_0805_GEN_1.40H","163.5500","135.2224","270"
"C100","Capacitor","TopLayer","C_0805_GEN_1.40H","154.2322","135.2224","270"
"C99","Capacitor","TopLayer","C_0805_GEN_1.40H","160.9386","128.9486","90"
"C98","Capacitor","TopLayer","C_0805_GEN_1.40H","177.4754","157.7460","270"
"C97","Capacitor","TopLayer","C_0805_GEN_1.40H","168.5324","157.7460","270"
"C96","Capacitor","TopLayer","C_0805_GEN_1.40H","174.7824","157.7460","90"
"C95","Capacitor","TopLayer","C_0805_GEN_1.40H","96.7740","134.3406","0"
"U4","ESP-WROOM-32","TopLayer","ESP_DUAL","169.3776","102.6756","270"
"R158","StandardResistor","TopLayer","R_0805_GEN_0.70H","21.0874","97.5214","90"
"R157","StandardResistor","TopLayer","R_0805_GEN_0.70H","21.3414","85.2286","90"
"R192","PlaceHolder","TopLayer","R_0805_GEN_0.70H","112.8395","36.1315","90"
"R191","PlaceHolder","TopLayer","R_0805_GEN_0.70H","115.7605","39.0525","90"
"R190","StandardResistor","TopLayer","R_0805_GEN_0.70H","160.7566","39.8272","180"
"R189","StandardResistor","TopLayer","R_0805_GEN_0.70H","160.7566","42.2402","0"
"R188","StandardResistor","TopLayer","R_0805_GEN_0.70H","164.1094","35.2868","270"
"R187","StandardResistor","TopLayer","R_0805_GEN_0.70H","180.2892","35.1598","270"
"R186","StandardResistor","TopLayer","R_0805_GEN_0.60H","165.3540","182.4990","0"
"Q29","SingleNMOS_G1S3DTAB","TopLayer","DPAK_SQD50N10-8M9L","14.9794","168.3478","90"
"J60","B3B-XH-A(LF)(SN)","TopLayer","JST_B3B-XH-A(LF)(SN)","44.9580","3.7930","0"
"D13","SMBJ30A-E3/52","TopLayer","S2G_R1_00001","39.9066","26.3862","180"
"D12","SMBJ30A-E3/52","TopLayer","S2G_R1_00001","39.9366","43.1032","180"
"D11","SMBJ30A-E3/52","TopLayer","S2G_R1_00001","39.8366","75.2762","180"
"D10","SMBJ30A-E3/52","TopLayer","S2G_R1_00001","39.9356","59.7402","180"
"D8","SK54BL","TopLayer","SMB_NRVBS360BT3G","139.4460","32.6390","0"
"C94","Capacitor","TopLayer","C_0805_GEN_0.70H","126.4285","33.1535","90"
"C93","ESDSafeCapacitor","TopLayer","C_0805_GEN_1.40H","111.6965","39.6875","0"
"C92","Capacitor","TopLayer","C_0805_GEN_1.10H","38.8566","29.8062","0"
"C91","Capacitor","TopLayer","C_0805_GEN_1.10H","38.9196","46.2782","0"
"C90","100uF/50V","TopLayer","SC1V107M6L07KVR","48.0165","26.3763","90"
"C89","100uF/50V","TopLayer","SC1V107M6L07KVR","47.8465","42.4063","90"
"C88","Capacitor","TopLayer","C_0805_GEN_1.10H","38.6656","62.9152","0"
"C87","100uF/50V","TopLayer","SC1V107M6L07KVR","47.8465","58.9463","90"
"C86","100uF/50V","TopLayer","SC1V107M6L07KVR","47.7464","74.0764","90"
"C37","ESDSafeCapacitor","TopLayer","C_0805_GEN_1.40H","113.8365","74.8157","180"
"U16","CPC1998J SSR","TopLayer","I4-PAC","178.9430","21.9710","90"
"U12","CPC1998J SSR","TopLayer","I4-PAC","163.0680","22.1996","90"
"R177","StandardResistor","TopLayer","R_0805_GEN_0.70H","176.6062","39.7002","180"
"R176","StandardResistor","TopLayer","R_0805_GEN_0.70H","176.6062","42.1132","0"
"R175","StandardJumper","TopLayer","R_0805_GEN_0.70H","147.4560","186.6770","90"
"R174","StandardJumper","TopLayer","R_0805_GEN_0.70H","165.2970","177.8000","180"
"R173","StandardJumper","TopLayer","R_0805_GEN_0.70H","168.2750","89.9160","90"
"R172","StandardJumper","TopLayer","R_0805_GEN_0.70H","172.9740","89.9160","270"
"R168","StandardResistor","TopLayer","R_0805_GEN_0.70H","88.9762","147.0914","90"
"R164","StandardResistor","TopLayer","R_0805_GEN_0.70H","93.2688","142.2654","0"
"Q28","SingleNMOS_G1S3DTAB","TopLayer","DPAK_SQD50N10-8M9L","14.9794","179.7858","90"
"Q25","SingleNMOS_G1S3DTAB","TopLayer","D2PAK-3_SQM60N20-35","97.8390","148.9465","270"
"J58","B3B-XH-A(LF)(SN)","TopLayer","JST_B3B-XH-A(LF)(SN)","46.8630","191.5160","180"
"J57","505110-1692","TopLayer","FFC_CONNECTOR","103.8860","191.2820","180"
"J55","B2B-XH-A(LF)(SN)","TopLayer","JST_B2B-XH-A(LF)(SN)","110.9980","148.7170","270"
"XTAL1","ATS08A-E","TopLayer","XTAL_HC49P488W43L1085T450H368","106.2045","71.2387","0"
"U14","BTN8982TA","TopLayer","DPAK127P1500X440-8N","26.1066","22.0212","180"
"U13","BTN8982TA","TopLayer","DPAK127P1500X440-8N","26.1066","36.8062","180"
"U11","AMS1117-3.3","TopLayer","SOT229P700X180-4N","143.8145","44.5485","270"
"U10","AT24CS64-SSHM-B","TopLayer","SOIC127P599X175-8N","84.1185","69.4817","90"
"U9","TMC2209-LA","TopLayer","QFN50P500X500X90-29N","150.3790","170.5396","0"
"U8","TMC2209-LA","TopLayer","QFN50P500X500X90-29N","123.8590","170.5396","0"
"U7","TMC2209-LA","TopLayer","QFN50P500X500X90-29N","86.2240","170.2856","0"
"U6","TMC2209-LA","TopLayer","QFN50P500X500X90-29N","62.2260","170.2856","0"
"U5","TMC2209-LA","TopLayer","QFN50P500X500X90-29N","38.6240","169.0726","0"
"U3","BTN8982TA","TopLayer","DPAK127P1500X440-8N","26.0666","53.1462","180"
"U2","BTN8982TA","TopLayer","DPAK127P1500X440-8N","26.0566","67.8862","180"
"U1","SN74AHC244DW","TopLayer","SN74AHC244DW","63.8307","52.5847","180"
"SW4","L-KLS7-TS4502-6.5-180-T","TopLayer","L-KLS7-TS4502-6.5-180-T","172.0410","149.8370","0"
"SW3","L-KLS7-TS4502-6.5-180-T","TopLayer","L-KLS7-TS4502-6.5-180-T","157.8564","141.2966","0"
"SW2","L-KLS7-TS4502-6.5-180-T","TopLayer","L-KLS7-TS4502-6.5-180-T","92.3945","64.6787","180"
"SW1","L-KLS7-TS4502-6.5-180-T","TopLayer","L-KLS7-TS4502-6.5-180-T","92.3945","71.3987","180"
"SB3","","TopLayer","0805_SB","14.7320","25.9080","270"
"SB1","","TopLayer","0805_SB","15.2250","50.1500","270"
"R162","StandardResistor","TopLayer","R_0805_GEN_0.70H","23.1794","181.2258","180"
"R161","StandardResistor","TopLayer","R_0805_GEN_0.70H","23.1794","178.5158","180"
"R160","StandardResistor","TopLayer","R_0805_GEN_0.70H","23.1794","169.5178","180"
"R159","StandardResistor","TopLayer","R_0805_GEN_0.70H","23.1794","166.8178","180"
"R156","StandardJumper","TopLayer","R_0805_GEN_0.70H","72.5988","43.8168","0"
"R155","StandardJumper","TopLayer","R_0805_GEN_0.70H","72.5988","46.3868","180"
"R154","StandardJumper","TopLayer","R_0805_GEN_0.70H","90.1700","157.8610","0"
"R153","StandardJumper","TopLayer","R_0805_GEN_0.70H","130.6934","162.5684","90"
"R152","StandardJumper","TopLayer","R_0805_GEN_0.70H","90.0280","163.2966","90"
"R151","StandardJumper","TopLayer","R_0805_GEN_0.70H","128.1026","164.5496","90"
"R150","StandardJumper","TopLayer","R_0805_GEN_0.70H","79.6140","161.7556","180"
"R149","StandardJumper","TopLayer","R_0805_GEN_0.70H","116.7690","162.0096","180"
"R148","StandardJumper","TopLayer","R_0805_GEN_0.70H","142.9870","159.5712","0"
"R147","StandardJumper","TopLayer","R_0805_GEN_0.70H","154.7980","164.4226","90"
"R146","StandardJumper","TopLayer","R_0805_GEN_0.70H","142.9890","162.0096","180"
"R145","StandardJumper","TopLayer","R_0805_GEN_0.70H","47.6820","157.3530","180"
"R144","StandardJumper","TopLayer","R_0805_GEN_0.70H","60.5790","157.7340","90"
"R143","StandardJumper","TopLayer","R_0805_GEN_0.70H","42.7840","162.9686","90"
"R142","StandardJumper","TopLayer","R_0805_GEN_0.70H","65.6440","163.6606","90"
"R141","StandardJumper","TopLayer","R_0805_GEN_0.70H","31.8050","161.6286","180"
"R140","StandardJumper","TopLayer","R_0805_GEN_0.70H","55.5300","161.7556","180"
"R139","StandardResistor","TopLayer","R_0805_GEN_0.60H","162.5004","89.2460","270"
"R138","StandardJumper","TopLayer","R_0805_GEN_0.70H","165.1419","89.2460","90"
"R137","StandardResistor","TopLayer","R_0805_GEN_0.70H","157.5000","146.4636","180"
"R136","StandardJumper","TopLayer","R_0805_GEN_0.70H","180.0472","119.4178","0"
"R135","StandardResistor","TopLayer","R_0805_GEN_0.70H","157.5000","150.4156","180"
"R132","StandardResistor","TopLayer","R_0805_GEN_0.70H","37.3956","23.0372","180"
"R131","StandardResistor","TopLayer","R_0805_GEN_0.70H","34.8556","26.7202","270"
"R130","StandardResistor","TopLayer","R_0805_GEN_0.70H","35.1096","40.9442","270"
"R129","StandardResistor","TopLayer","R_0805_GEN_0.70H","37.6496","38.5312","270"
"R128","StandardResistor","TopLayer","R_0805_GEN_0.70H","66.5480","61.8490","270"
"R127","StandardResistor","TopLayer","R_0805_GEN_0.70H","64.1350","61.8490","270"
"R126","StandardResistor","TopLayer","R_0805_GEN_0.60H","85.5980","10.4140","270"
"R125","StandardResistor","TopLayer","R_0805_GEN_0.70H","61.8490","61.8490","270"
"R124","StandardResistor","TopLayer","R_0805_GEN_0.70H","59.4360","61.8490","270"
"R123","1K","TopLayer","R_0805_GEN_0.60H","89.1540","10.4140","270"
"R122","StandardResistor","TopLayer","R_0805_GEN_0.70H","132.6515","41.8465","90"
"R121","StandardResistor","TopLayer","R_0805_GEN_0.70H","125.4125","37.5285","180"
"R120","StandardResistor","TopLayer","R_0805_GEN_0.70H","131.5720","33.1470","90"
"R119","StandardResistor","TopLayer","R_0805_GEN_0.70H","124.5235","41.8465","90"
"R118","StandardResistor","TopLayer","R_0805_GEN_0.70H","171.4500","186.6900","90"
"R117","StandardResistor","TopLayer","R_0805_GEN_0.70H","165.3630","180.0860","0"
"R116","StandardResistor","TopLayer","R_0805_GEN_0.70H","152.7139","186.6770","270"
"R115","StandardResistor","TopLayer","R_0805_GEN_0.70H","160.6008","186.6770","270"
"R114","StandardResistor","TopLayer","R_0805_GEN_0.70H","163.2298","186.6770","270"
"R113","StandardResistor","TopLayer","R_0805_GEN_0.70H","165.8588","186.6770","270"
"R112","StandardResistor","TopLayer","R_0805_GEN_0.70H","158.0558","179.5122","270"
"R111","StandardResistor","TopLayer","R_0805_GEN_0.70H","142.9890","174.2466","0"
"R110","StandardResistor","TopLayer","R_0805_GEN_0.70H","151.8135","164.4226","270"
"R109","StandardJumper","TopLayer","R_0805_GEN_0.70H","148.8290","164.4226","90"
"R108","StandardResistor","TopLayer","R_0805_GEN_0.70H","142.9890","171.7992","180"
"R107","StandardResistor","TopLayer","R_0805_GEN_0.70H","133.1256","177.0210","180"
"R106","StandardResistor","TopLayer","R_0805_GEN_0.70H","116.7690","174.2466","0"
"R105","StandardResistor","TopLayer","R_0805_GEN_0.70H","95.6922","176.5130","180"
"R104","StandardResistor","TopLayer","R_0805_GEN_0.70H","79.6140","173.9926","0"
